Lóð,Heimtaugarskápur,Heimtaugarskápur XID,Auðkenni ljósastaurs,Ljósastaur XID,Gata,Staðsetning,Tegund viðfangs,Undirtegund,X (lengdargráða),Y (Breidd),GPS-hæð,X,Y,Dags. uppsett,Eigandi 2,Eigandi Umsjón-starfsmaður,Kennitala eiganda,Framleiðandi,Birgir,Efni staurs,Litur staurs,Hæð staurs [m],Hefur topp/arm,Tegund topps/arms,Framleiðandi topps/arms,Söluaðili topps/arms,Tengill,Ljósleiðarapípa,Dags. burðarþolsprófunar,Framkvæmdaraðili burðarþolsprófunar,Tegund undirstöðu,Staða,Ástandseinkunn
,,,,29806,MOSARIMI,,,,,,,364316.2,407881.9,,,,,,,J,,5,,,,,,,,,,,
,,,,29807,HRÍSRIMI,,,,,,,363855.2,407622.6,,,,,,,J,,5,,,,,,,,,,,
,,,,29808,HRÍSRIMI,,,,,,,363885.4,407582.2,,,,,,,J,,5,,,,,,,,,,,
,,,,29809,HRÍSRIMI,,,,,,,363919.3,407577.2,,,,,,,J,,5,,,,,,,,,,,
,,,,29810,HRÍSRIMI,,,,,,,363959.4,407571.4,,,,,,,J,,5,,,,,,,,,,,
,,,,29811,AUSTURBRÚN,,,,,,,360649.4,407777.1,,,,,,,J,,5,,,,,,,,,,,
,,,,29812,LAUFENGI,,,,,,,364974.1,407802.9,,,,,,,J,,5,,,,,,,,,,,
,,,,29813,LAUFENGI,,,,,,,364773,407874.3,,,,,,,J,,5,,,,,,,,,,,
,,,,29814,REYRENGI,,,,,,,364943.4,407980.2,,,,,,,J,,5,,,,,,,,,,,
,,,,29815,REYRENGI,,,,,,,364954,407901.2,,,,,,,J,,5,,,,,,,,,,,
,,,,29816,LAUFENGI,,,,,,,364944,407700.4,,,,,,,J,,5,,,,,,,,,,,
,,,,29817,LAUFRIMI,,,,,,,364301.9,407926.3,,,,,,,J,,5,,,,,,,,,,,
,,,,29818,FJÖRGYN,,,,,,,363763.7,406273.9,,,,,,,J,,5,,,,,,,,,,,
,,,,29819,FJÖRGYN,,,,,,,363756.7,406236.3,,,,,,,J,,5,,,,,,,,,,,
,,,,29891,KAMBASEL,,,,,,,361828.5,402227.7,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29909,FROSTASKJÓL,,,,,,,355194.2,408390.4,,,,,,,J,,8,JÁ,,,,,,,,,,
,,,,29910,FROSTASKJÓL,,,,,,,355219.6,408387.9,,,,,,,J,,8,JÁ,,,,,,,,,,
,,,,29911,FROSTASKJÓL,,,,,,,355250.9,408385.1,,,,,,,J,,8,JÁ,,,,,,,,,,
,,,,29912,FROSTASKJÓL,,,,,,,355283.2,408384.1,,,,,,,J,,8,JÁ,,,,,,,,,,
,,,,29913,FROSTASKJÓL,,,,,,,355310.9,408383.5,,,,,,,J,,8,JÁ,,,,,,,,,,
,,,,29914,FROSTASKJÓL,,,,,,,355348,408384.3,,,,,,,J,,8,JÁ,,,,,,,,,,
,,,,29915,FROSTASKJÓL,,,,,,,355376.9,408382.1,,,,,,,J,,8,JÁ,,,,,,,,,,
,,,,29916,FROSTASKJÓL,,,,,,,355412.1,408392.8,,,,,,,J,,8,JÁ,,,,,,,,,,
